Key,Date,Locations,C&F Agent,Division,SKU,Sales,OpeningStock,Receipts,Forecast,SellingPrice
37987AHMEDABAD AGENT 2PROD E,Jan-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,4620,1530,3780,3494,
38018AHMEDABAD AGENT 2PROD E,Feb-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3720,690,3600,3601,
38047AHMEDABAD AGENT 2PROD E,Mar-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,2550,570,7020,1888,
38078AHMEDABAD AGENT 2PROD E,Apr-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,10380,3600,11880,20592,9
38108AHMEDABAD AGENT 2PROD E,May-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,5175,5100,3060,14668,9
38139AHMEDABAD AGENT 2PROD E,Jun-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,7890,2985,6300,11894,9
38169AHMEDABAD AGENT 2PROD E,Jul-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3750,1395,6300,9576,9
38200AHMEDABAD AGENT 2PROD E,Aug-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3105,3945,4860,6888,9
38231AHMEDABAD AGENT 2PROD E,Sep-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,4931,5700,7206,6123,9
38261AHMEDABAD AGENT 2PROD E,Oct-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3861,7975,1800,3921,10.26
38292AHMEDABAD AGENT 2PROD E,Nov-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,4815,5914,6660,5733,10.26
38322AHMEDABAD AGENT 2PROD E,Dec-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3315,7759,1830,3724,10.26
38353AHMEDABAD AGENT 2PROD E,Jan-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3435,6274,6600,4051,10.26
38384AHMEDABAD AGENT 2PROD E,Feb-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3465,9439,0,3507,10.26
38412AHMEDABAD AGENT 2PROD E,Mar-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,1700,5974,2700,3984,10.26
38443AHMEDABAD AGENT 2PROD E,Apr-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,9495,6974,13500,11937,10.35
38473AHMEDABAD AGENT 2PROD E,May-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,5535,10979,9000,8240,10.35
38504AHMEDABAD AGENT 2PROD E,Jun-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,2400,14444,0,5917,10.35
38534AHMEDABAD AGENT 2PROD E,Jul-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3509,12044,0,4147,10.35
38565AHMEDABAD AGENT 2PROD E,Aug-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3705,8535,180,3146,10.35
38596AHMEDABAD AGENT 2PROD E,Sep-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,4605,4995,4530,3778,10.35
38626AHMEDABAD AGENT 2PROD E,Oct-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3330,4905,5400,4497,10.35
38657AHMEDABAD AGENT 2PROD E,Nov-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3510,6975,1080,3486,10.35
38687AHMEDABAD AGENT 2PROD E,Dec-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3765,4545,3600,3173,10.35
38718AHMEDABAD AGENT 2PROD E,Jan-06,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPASF,PROD E,3680,4380,4860,3271,10.35
