Key,Date,Locations,C&F Agent,Division,SKU,Sales,OpeningStock,Receipts,Forecast,SellingPrice
37987AHMEDABAD AGENT 2PROD E,Jan-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,94560,90560,43680,83638,
38018AHMEDABAD AGENT 2PROD E,Feb-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,71520,38720,77760,73595,
38047AHMEDABAD AGENT 2PROD E,Mar-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,40320,44960,43200,73754,
38078AHMEDABAD AGENT 2PROD E,Apr-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,86880,47840,60480,191354,6.15
38108AHMEDABAD AGENT 2PROD E,May-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,81600,20960,84960,163922,6.15
38139AHMEDABAD AGENT 2PROD E,Jun-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,117440,24320,125760,184000,6.15
38169AHMEDABAD AGENT 2PROD E,Jul-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,98400,32640,116640,210802,6.15
38200AHMEDABAD AGENT 2PROD E,Aug-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,84000,50400,89760,183118,6.2
38231AHMEDABAD AGENT 2PROD E,Sep-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,88320,56160,56640,100261,
38261AHMEDABAD AGENT 2PROD E,Oct-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,89280,24480,92640,82248,
38292AHMEDABAD AGENT 2PROD E,Nov-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,90720,27840,82080,96828,6.2
38322AHMEDABAD AGENT 2PROD E,Dec-04,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,110880,19200,116640,85708,
38353AHMEDABAD AGENT 2PROD E,Jan-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,79680,24960,82560,81681,
38384AHMEDABAD AGENT 2PROD E,Feb-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,76800,27360,83040,88350,6.2
38412AHMEDABAD AGENT 2PROD E,Mar-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,45600,33600,69120,78117,
38443AHMEDABAD AGENT 2PROD E,Apr-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,92160,57120,68160,90436,
38473AHMEDABAD AGENT 2PROD E,May-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,95040,33120,72000,83104,
38504AHMEDABAD AGENT 2PROD E,Jun-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,102720,10080,124320,109605,6.2
38534AHMEDABAD AGENT 2PROD E,Jul-05,AHMEDABAD BRANCH,AHMEDABAD AGENT 2,CPMNT,PROD E,72960,31680,137280,108758,
