Key,Date,Locations,Division,SKU,Sales,OpeningStock,Receipts,Forecast,SellingPrice,NetStock,Lagged_Sales,Sales_MA_3,Sales_MA_6,Sales_MA_12,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Location_AHMEDABAD,Location_AMBALA,Location_BANGALORE,Location_CALCUTTA,Location_CHANDIGARH,Location_CHENNAI,Location_DEHRADUN,Location_DELHI,Location_ERNAKULAM,Location_GHAZIABAD,Location_HYDERABAD,Location_KANPUR,Location_MUMBAI,Location_PARWANOO,Location_ZIRAKPUR
37987AHMEDABAD AGENT 2PROD E,2004-01,AHMEDABAD,CPASF,PROD E,4620,1530,3780,3494,9.220272161741837,690,,4620.0,4620.0,4620.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38018AHMEDABAD AGENT 2PROD E,2004-02,AHMEDABAD,CPASF,PROD E,3720,690,3600,3601,9.220272161741837,570,4620.0,4170.0,4170.0,4170.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38047AHMEDABAD AGENT 2PROD E,2004-03,AHMEDABAD,CPASF,PROD E,2550,570,7020,1888,9.220272161741837,5040,3720.0,3630.0,3630.0,3630.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38078AHMEDABAD AGENT 2PROD E,2004-04,AHMEDABAD,CPASF,PROD E,10380,3600,11880,20592,9.0,5100,2550.0,5550.0,5317.5,5317.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38108AHMEDABAD AGENT 2PROD E,2004-05,AHMEDABAD,CPASF,PROD E,5175,5100,3060,14668,9.0,2985,10380.0,6035.0,5289.0,5289.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38139AHMEDABAD AGENT 2PROD E,2004-06,AHMEDABAD,CPASF,PROD E,7890,2985,6300,11894,9.0,1395,5175.0,7815.0,5722.5,5722.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38169AHMEDABAD AGENT 2PROD E,2004-07,AHMEDABAD,CPASF,PROD E,3750,1395,6300,9576,9.0,3945,7890.0,5605.0,5577.5,5440.714285714285,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38200AHMEDABAD AGENT 2PROD E,2004-08,AHMEDABAD,CPASF,PROD E,3105,3945,4860,6888,9.0,5700,3750.0,4915.0,5475.0,5148.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38231AHMEDABAD AGENT 2PROD E,2004-09,AHMEDABAD,CPASF,PROD E,4931,5700,7206,6123,9.0,7975,3105.0,3928.6666666666665,5871.833333333333,5124.555555555556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38261AHMEDABAD AGENT 2PROD E,2004-10,AHMEDABAD,CPASF,PROD E,3861,7975,1800,3921,10.26,5914,4931.0,3965.6666666666665,4785.333333333333,4998.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
