Key,Date,Locations,Division,SKU,Sales,OpeningStock,Receipts,Forecast,SellingPrice,NetStock,Lagged_Sales,Sales_MA_3,Sales_MA_6,Sales_MA_12,Agent_1,Agent_2,Agent_3,Agent_4,Agent_5,Location_AHMEDABAD,Location_AMBALA,Location_BANGALORE,Location_CALCUTTA,Location_CHANDIGARH,Location_CHENNAI,Location_DEHRADUN,Location_DELHI,Location_ERNAKULAM,Location_GHAZIABAD,Location_HYDERABAD,Location_KANPUR,Location_MUMBAI,Location_PARWANOO,Location_ZIRAKPUR
37987AHMEDABAD AGENT 2PROD E,2004-01,AHMEDABAD,CPMNT,PROD E,94560,90560,43680,83638,8.419263456090652,39680,,94560.0,94560.0,94560.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38018AHMEDABAD AGENT 2PROD E,2004-02,AHMEDABAD,CPMNT,PROD E,71520,38720,77760,73595,8.419263456090652,44960,94560.0,83040.0,83040.0,83040.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38047AHMEDABAD AGENT 2PROD E,2004-03,AHMEDABAD,CPMNT,PROD E,40320,44960,43200,73754,8.419263456090652,47840,71520.0,68800.0,68800.0,68800.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38078AHMEDABAD AGENT 2PROD E,2004-04,AHMEDABAD,CPMNT,PROD E,86880,47840,60480,191354,6.15,21440,40320.0,66240.0,73320.0,73320.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38108AHMEDABAD AGENT 2PROD E,2004-05,AHMEDABAD,CPMNT,PROD E,81600,20960,84960,163922,6.15,24320,86880.0,69600.0,74976.0,74976.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38139AHMEDABAD AGENT 2PROD E,2004-06,AHMEDABAD,CPMNT,PROD E,117440,24320,125760,184000,6.15,32640,81600.0,95306.66666666667,82053.33333333333,82053.33333333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38169AHMEDABAD AGENT 2PROD E,2004-07,AHMEDABAD,CPMNT,PROD E,98400,32640,116640,210802,6.15,50880,117440.0,99146.66666666667,82693.33333333333,84388.57142857143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38200AHMEDABAD AGENT 2PROD E,2004-08,AHMEDABAD,CPMNT,PROD E,84000,50400,89760,183118,6.2,56160,98400.0,99946.66666666667,84773.33333333333,84340.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38231AHMEDABAD AGENT 2PROD E,2004-09,AHMEDABAD,CPMNT,PROD E,88320,56160,56640,100261,8.419263456090652,24480,84000.0,90240.0,92773.33333333333,84782.22222222222,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38261AHMEDABAD AGENT 2PROD E,2004-10,AHMEDABAD,CPMNT,PROD E,89280,24480,92640,82248,8.419263456090652,27840,88320.0,87200.0,93173.33333333333,85232.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
