SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
04-01-2004,30-06-2004,PROD E,178,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
04-01-2004,30-06-2004,PROD C,178,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-01-2004,30-06-2004,PROD B,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01-2004,30-06-2004,PROD A,176,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
06-01-2004,30-06-2004,PROD B,176,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2004,31-08-2004,PROD A,236,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2004,31-08-2004,PROD A,236,4.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2004,31-08-2004,PROD E,236,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2004,20-09-2004,PROD B,255,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2004,31-08-2005,PROD A,600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2004,30-09-2004,PROD A,265,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2004,20-09-2004,PROD B,255,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-2004,31-10-2004,PROD B,296,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-01-2004,30-11-2004,PROD B,324,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2004,31-03-2005,PROD E,444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2004,12-07-2004,PROD A,182,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2004,31-03-2005,PROD C,444,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
07-02-2004,31-07-2004,PROD A,175,4.8,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08-02-2004,31-08-2004,PROD B,205,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-04-2004,15-06-2004,PROD C,61,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23-04-2004,31-05-2004,PROD B,38,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23-04-2004,31-05-2004,PROD B,38,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13-05-2004,31-05-2004,PROD B,18,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-2004,30-05-2004,PROD B,17,13.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-05-2004,30-06-2004,PROD B,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-05-2004,30-06-2004,PROD B,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-05-2004,31-07-2004,PROD E,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
