Forecast,Agent_4,Location_PARWANOO,SKU,Location_ERNAKULAM,Location_GHAZIABAD,Sales_MA_3,Agent_5,OpeningStock,Location_DEHRADUN,Receipts,Sales_MA_12,Agent_2,Agent_3,Key,Location_CHENNAI,Location_CHANDIGARH,Location_BANGALORE,Date,Location,Sales,Location_CALCUTTA,Location_KANPUR,SellingPrice,Sales_MA_6,Location_AHMEDABAD,Location_ZIRAKPUR,Location_DELHI,NetStock,Lagged_Sales,Agent_1,Division,Location_AMBALA,Location_HYDERABAD,Location_MUMBAI,Scheme End,Days of Discount,Discount (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
3494,0,0,PROD E,0,0,4620.0,0,1530,0,3780,4620.0,1,0,37987AHMEDABAD AGENT 2PROD E,0,0,0,2004-01,AHMEDABAD,4620,0,0,9.220272161741836,4620.0,1,0,0,690,,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3601,0,0,PROD E,0,0,4170.0,0,690,0,3600,4170.0,1,0,38018AHMEDABAD AGENT 2PROD E,0,0,0,2004-02,AHMEDABAD,3720,0,0,9.220272161741836,4170.0,1,0,0,570,4620.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1888,0,0,PROD E,0,0,3630.0,0,570,0,7020,3630.0,1,0,38047AHMEDABAD AGENT 2PROD E,0,0,0,2004-03,AHMEDABAD,2550,0,0,9.220272161741836,3630.0,1,0,0,5040,3720.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
20592,0,0,PROD E,0,0,5550.0,0,3600,0,11880,5317.5,1,0,38078AHMEDABAD AGENT 2PROD E,0,0,0,2004-04,AHMEDABAD,10380,0,0,9.0,5317.5,1,0,0,5100,2550.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
14668,0,0,PROD E,0,0,6035.0,0,5100,0,3060,5289.0,1,0,38108AHMEDABAD AGENT 2PROD E,0,0,0,2004-05,AHMEDABAD,5175,0,0,9.0,5289.0,1,0,0,2985,10380.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
11894,0,0,PROD E,0,0,7815.0,0,2985,0,6300,5722.5,1,0,38139AHMEDABAD AGENT 2PROD E,0,0,0,2004-06,AHMEDABAD,7890,0,0,9.0,5722.5,1,0,0,1395,5175.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
9576,0,0,PROD E,0,0,5605.0,0,1395,0,6300,5440.714285714285,1,0,38169AHMEDABAD AGENT 2PROD E,0,0,0,2004-07,AHMEDABAD,3750,0,0,9.0,5577.5,1,0,0,3945,7890.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6888,0,0,PROD E,0,0,4915.0,0,3945,0,4860,5148.75,1,0,38200AHMEDABAD AGENT 2PROD E,0,0,0,2004-08,AHMEDABAD,3105,0,0,9.0,5475.0,1,0,0,5700,3750.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6123,0,0,PROD E,0,0,3928.6666666666665,0,5700,0,7206,5124.555555555556,1,0,38231AHMEDABAD AGENT 2PROD E,0,0,0,2004-09,AHMEDABAD,4931,0,0,9.0,5871.833333333333,1,0,0,7975,3105.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3921,0,0,PROD E,0,0,3965.6666666666665,0,7975,0,1800,4998.2,1,0,38261AHMEDABAD AGENT 2PROD E,0,0,0,2004-10,AHMEDABAD,3861,0,0,10.26,4785.333333333333,1,0,0,5914,4931.0,0,CPASF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
